tier,customer,url,cited_by,category,stage,funding,headcount,accelerator,how_they_use_agents,why_memory,testimonial,person_quoted
anchor (persona-fit),Thatch,https://www.thatch.com,Falconer (https://falconer.com),healthtech + fintech — health benefits administration (ICHRA) with an embedded card/payments layer,Series B (last announced Apr 2025); likely later-stage now given 200+ ,$84.5M total raised as of Apr 2025. Seed announced Feb 2023 backed by a16z and G,~200+ (thatch.com/about states '200+ tea,None — not a YC or accelerator company; seed-funded directly,"Not an AI-native company — AI is a support and compliance layer on a benefits/fintech product. The visible agent is 'Ask Thatch', described as AI-powered service available 24/7 to every employee: it answers benefits and coverage questions and handles receipt compliance and expense substantiation (th","The clearest 'scaling org' buyer of the three: ~72 to 200+ employees in about 18 months, distributed across three offices plus remote, with 29 open roles still posted. Stevenson's quote names the exact fear — 'as we rapidly scale our engineering team","Homepage testimonial (repeated on /pricing/, /startups/, /landing/) with the Thatch company logo: ""From day one, Falconer has felt like a superpower. It transformed our scattered documentation into a unified, living brain. As we rapidly scale our engineering team at Thatch, it gives me confidence that our velocity won't come at the cost of clarity.","Adam Stevenson, Co-founder, President"
anchor (persona-fit),Middesk,unknown,Falconer (https://falconer.com),KYB / business identity verification and compliance infrastructure (fintech infra),Series B (last disclosed round; growth stage),"$57M Series B announced 2022-07-08, co-led by Insight Partners and Canapi Ventur","~130-156. Middesk's /about page states ""","Y Combinator, Winter 2019 batch","Both directions, and this is the key detail. (1) INTERNALLY / IN-PRODUCT: Middesk shipped an ""Agent in the Loop"" model — specialized research agents that do OFAC false-positive resolution, address-discrepancy investigation, beneficial-ownership tracing across complex structures, litigation research,","The Falconer testimonial is from Dan Hanson, Product Manager, and states the pain directly: ""Falconer prevents our documentation from drifting out of sync with our codebase as engineers ship new products and features. The result is like giving every ","Homepage testimonial (repeated on /pricing/, /startups/, /landing/) with the Middesk company logo (img alt=""Middesk""): ""Falconer prevents our documentation from drifting out of sync with our codebase as engineers ship new products and features. The result is like giving every team member a senior engineer they can ask questions anytime they need he","Dan Hanson, Product Manager"
anchor (persona-fit),Nous Research,https://nousresearch.com,Honcho (Plastic Labs),AI research lab + open-source agent harness / consumer-and-developer AI agent (frontier AI lab adjacent),"Series B-ish / late growth-stage private. TechCrunch (July 13, 2026) r","~$70M raised prior to the mid-2026 round, from Paradigm, Robot Ventures, North I",11-50 (LinkedIn company page). Careers p,None found. Not a YC company; began as an open-source/Discor,"Agents ARE the product. Hermes Agent is an autonomous agent harness with an explicit closed learning loop: it creates skills from experience and improves them during use, nudges itself to persist knowledge, searches its own past conversations (FTS5 full-text search with LLM summarization for cross-s","Structurally the most memory-dependent buyer profile in this category. Hermes Agent's core differentiation is persistence — same agent, same user, across Telegram/Discord/Slack/WhatsApp/CLI, over months. That requires cross-surface identity, a durabl","Strongest-evidenced name on the list. Appears in the homepage ""Used by developers at"" ticker (""frontier"" row), AND the homepage separately advertises an integration: ""Hermes Agent — Autonomous agent with built-in Honcho memory"", installed via `curl -fsSL https://raw.githubusercontent.com/NousResearch/hermes-agent/main/scripts/install.sh | bash` the",
anchor (persona-fit),UnCircuit,https://uncircuit.com,Poth Labs,hiring / candidate assessment (HR tech),seed-stage / accelerator-stage (YC S26 cohort); no priced round found,"unknown - no announced round, no Crunchbase/TechCrunch/press-release coverage fo",~2-5. Two co-founders publicly identifie,Y Combinator S26 - attested by both founders' LinkedIn headl,"Not disclosed, and notably absent. The homepage, privacy policy and terms contain ZERO occurrences of 'AI', 'agent', 'model' or 'LLM' - I grepped the full HTML. Product copy describes human-designed games plus real-time behavioral measurement ('We build a short scenario', 'We watch how they think', ","They are a Poth Labs customer, and Poth sells a persistent, citation-backed customer-knowledge layer rather than an agent-memory SDK - so the fit is operational, not in-product. UnCircuit's entire sales motion is bespoke: every deal starts as a long ","Logo-wall only, no quote or case study. In the 'Trusted by teams at' wall on the homepage, repeated on /ask-poth and /surveys. Rendered as logo mark + text label 'UnCircuit'. Not linked. URL verified by pixel-comparing /logos/uncircuit-logo.png against https://uncircuit.com/logo.webp - the blue/teal broken-circle gradient mark is an exact match. un",
anchor (persona-fit),AllVoices,https://www.allvoices.co,"Coworker (coworker.ai) - Village Platforms, Inc.",HR tech / employee relations and HR case management (compliance-adjacent),seed (no round disclosed since 2020; likely revenue-financed growth si,"$3M seed announced Feb 2020 (Crosscut, Greycroft, Halogen Ventures, Vitalize VC ",~33 employees (Built In profile); The Or,none found,"They ship an in-product AI agent called Vera, launched Feb 2023 as ""the first AI copilot for Employee Relations teams"" and since repositioned as an agent embedded in every workflow step rather than a chat sidebar. Vera structures raw intake into a case, drafts investigation plans and interview quest","They are a small (~35-person) team selling a compliance-grade product to enterprise HR, legal and security buyers — high security-questionnaire and audit load, deep institutional knowledge about policy nuance, and a long tail of customer-specific con","Logo on the homepage ""Trusted by"" marquee (alt=""AllVoices"", file allvoices.png). Logo-wall only - no quote, named person, or case study.",
anchor (persona-fit),Mission Inbox,https://missioninbox.com,"Agently (https://agently.dev) — ""AI Work OS"" / Agently Brain, founded by Omar Ghandour (CEO) and Ahmad Hajj",email infrastructure / deliverability (dev tools and GTM infrastructure),unknown — most likely seed-stage or bootstrapped. No funding announcem,unknown — no disclosed rounds found. Crunchbase (403) and Tracxn (404) were inac,~13. LinkedIn shows a '2-10 employees' s,none found,"Two distinct places, and the product-side one is the notable one. First, AI agents are an explicitly targeted customer segment: missioninbox.com/ai-agents is a dedicated product page offering 'email infrastructure for AI agents,' giving an agent a dedicated inbox it 'owns and operates on its own' vi","Strong fit, better than the other two. Deliverability is a domain where the value is almost entirely undocumented operational knowledge: IP warmup schedules, per-ESP quirks (what Google tolerates that Outlook does not), DNS/SPF/DKIM/DMARC failure pat","Verbatim launch text on agently.dev/live: ""High-volume email campaigns suffer when shared infrastructure tanks your deliverability. Mission Inbox provides isolated sending environments and dedicated IPs so your inbox placement stays pristine regardless of what others are doing on the network. @agently_ai"" Posted 2026-07-30. Note the post itself tag",
anchor (persona-fit),Upbound,https://www.upbound.io,"Coworker (coworker.ai) - Village Platforms, Inc.",dev tools / platform engineering / cloud infrastructure control planes,Series B (last announced round Nov 2021; no later round found),"$69M total per LinkedIn. Confirmed rounds: $9M Series A (May 2018, TechCrunch) a",51-200 (LinkedIn band); globally distrib,none - traditional VC path; the company is the commercial sp,"Agents are central to the current product positioning, not just internal tooling. The homepage tagline is 'Humans govern. Agents consume. Machines execute.' The platform page states that engineers and AI agents work through one API and one view, and that Hub's central index gives 'agents a single ac","Two distinct pulls. Internally: a small, fully remote team running a large open-source project plus an enterprise product, with knowledge spread across GitHub issues, Slack, docs and customer threads - classic company-brain territory, and they alread","Logo on the homepage ""Trusted by"" marquee (alt=""Upbound"", file upbound.png). Logo-wall only - no quote, named person, or case study.",
anchor (persona-fit),Raycast,https://www.raycast.com,Honcho (Plastic Labs),developer/prosumer productivity software; AI-assistant surface layered on a launcher,Series B,~$45M+ disclosed. Seed announced October 2020 (Accel). $15M Series A announced 3,40 employees — stated directly on raycas,none found — Accel-backed from seed onward,"Deep and first-party. Raycast AI ships: Agents (persistent, reusable AI personas that carry a system prompt, a chosen model, an icon and a scoped tool set across conversations — a built-in 'Deep Research' agent ships as a template, and agents can be shared across an org); AI Extensions (natural-lang","Strongest category fit of the three — but with a large caveat: they already built it themselves. Raycast Pro explicitly ships 'Memory' and 'Profile' as personalization features. Per manual.raycast.com/ai/personalization, Profile is manually curated u","Logo in the homepage ""Used by developers at"" ticker (""frontier"" group). AMBIGUOUS: developer-level claim only. No quote or case study.",
context (enterprise logo),11x,,Letta; Letta (formerly MemGPT),AI SDR / GTM automation ('digital workers') — the canonical AI-native agent startup,Series B,,,,,,,
context (enterprise logo),Kognitos,,Letta; Letta (formerly MemGPT),"agentic business-process automation / intelligent automation (AI-native RPA successor), finance ops focus",Series B,,,,,,,
context (enterprise logo),Thrive AI Health,,"Zep (Zep AI, Inc. / getzep.com) — YC W24; Zep (Graphiti)",healthcare AI / consumer digital health (AI health coaching),"Corporate-backed joint venture, seed-equivalent; funding amount never ",,,,,,,
context (enterprise logo),Groq,,"Hindsight (Vectorize.io); Hindsight (agent memory system by Vectorize AI, Inc. — vectorize.io / hindsight.vectorize.io); Vectorize (vectorize.io) — Vectorize, Inc.",AI inference cloud / AI compute infrastructure (not agent memory — this is the layer underneath agents),"Late-stage private. Confusingly, their Aug 2026 round is labeled ""Seri",,,,,,,
context (enterprise logo),Lemonade,,Naboo (https://www.naboo.ai/),"Insurtech — AI-native consumer insurance carrier, publicly traded",Public company (NYSE: LMND),,,,,,,
context (enterprise logo),Exodigo,,Jedify,"AI + sensing for infrastructure / construction tech (subsurface geospatial intelligence). Hardware + AI + services, sold",Series B,,,,,,,
context (enterprise logo),Y Combinator,,GBrain; Granola (granola.ai),Startup accelerator / early-stage venture fund — NOT an AI-native software buyer. Its appearance in this dataset is as a,"n/a — established institution, operating since 2005; it is the investo",,,,,,,
context (enterprise logo),Bilt (Bilt Rewards),,Letta; Letta (formerly MemGPT),"Consumer fintech — loyalty, payments and local commerce (a non-AI-native scaled startup buying agent infrastructure, not",Late-stage growth (post-Series C; $250M round July 2025),,,,,,,
context (enterprise logo),Hunt Club,,Letta; Letta (formerly MemGPT),"executive search / recruiting (services firm with proprietary tech), not a software vendor",Series B (last disclosed round Dec 2022); no round announced since,,,,,,,
context (enterprise logo),Twin Health,,"Zep (Zep AI, Inc. / getzep.com) — YC W24; Zep (Graphiti)","digital health / virtual chronic-condition care (metabolic health), AI-driven",Late-stage private — Series D/E territory. Reported unicorn valuation ,,,,,,,
context (enterprise logo),Axtria,,"Zep (Zep AI, Inc. / getzep.com) — YC W24; Zep (Graphiti)",Enterprise life-sciences analytics + agentic AI software and services (pharma commercial operations),"Late-stage private, PE/growth-capital backed — not a venture startup. ",,,,,,,
context (enterprise logo),SK Networks,,Memori (Memori Labs); Memori (MemoriLabs / GibsonAI); Memori (Memori Labs Inc.) — https://memorilabs.ai,"diversified conglomerate / consumer robotics and wellness appliances (AI adopter, not AI-native)","Public company (KRX:001740), SK Group affiliate.",,,,,,,
context (enterprise logo),DigitalOcean,,Memori (Memori Labs); Memori (MemoriLabs / GibsonAI); Memori (Memori Labs Inc.) — https://memorilabs.ai,"cloud infrastructure / IaaS, with an AI + agent platform layer",public company,,,,,,,
context (enterprise logo),Zapier,,Granola (granola.ai),"Workflow automation / iPaaS + AI agent platform (dev-tools adjacent, PLG SaaS)","Late-stage private, effectively bootstrapped. Profitable since 2014 an",,,,,,,
context (enterprise logo),Golutra,,EverMind (EverOS) — https://evermind.ai,Dev tools / multi-agent orchestration for coding agents (agent workforce IDE replacement),"Bootstrapped indie open-source. No funding round, investor, incorporat",,,,,,,
context (enterprise logo),Cockroach Labs,,Memori (Memori Labs); Memori (MemoriLabs / GibsonAI),database / data infrastructure (distributed SQL); NOT an agent-memory buyer — a BYODB storage backend and co-marketing p,"late-stage private (last publicly known round: Series F, December 2021",,,,,,,
context (enterprise logo),Micro,,Hyperspell,"AI-native personal/SMB workspace — AI CRM + email client + meeting notetaker + task manager, sold as an ""everything app""",unknown — no publicly announced priced round found. Launched out of st,,,,,,,
context (enterprise logo),Snorkel AI,,Hyper (heyhyper.ai) — YC Spring 2026 (P26),AI training data / evaluation infrastructure (data labeling → frontier-AI data + RL environments + agent benchmarks),Late-stage private (Series C+); strategic corporate investment from Ac,,,,,,,
context (enterprise logo),Knowunity,,Cognee (Topoteretes UG) — https://cognee.ai,"Consumer edtech / AI study companion (B2C mobile app, freemium subscription), with a small B2B Gen-Z advertising & recru",Series B (or later) — €27M Series B announced June 2025; company now s,,,,,,,
context (enterprise logo),Zurich Insurance Group,,"Interloom (interloom.com) — Interloom Technologies GmbH, Munich","Global multiline insurance (P&C, life, Farmers) — an enterprise BUYER of agent-memory software, not a vendor in the cate",Public company (SIX Swiss Exchange: ZURN); ~150 years old,,,,,,,
context (enterprise logo),SSP Group plc,,Colrows (colrows.com) — Alterbasics Technologies Pvt Ltd,Travel-retail food & beverage operator (FTSE 250 hospitality incumbent). As a BUYER: large non-tech enterprise purchasin,"Public company — London Stock Exchange, ticker SSPG, constituent of th",,,,,,,
context (enterprise logo),Hippocratic AI,,Honcho (Plastic Labs),healthcare AI — voice agents for patient engagement / clinical staffing augmentation,Series C,,,,,,,
context (enterprise logo),Rokid,,EverMind (EverOS) — https://evermind.ai,AI/AR smart glasses and spatial-computing hardware (consumer + industrial); adjacent to the AI-wearable / always-on-assi,Late-stage private. Reported to be planning a Hong Kong IPO (South Chi,,,,,,,
context (enterprise logo),Dot Compliance,,Tribal (gotribal.ai),"Vertical SaaS — life sciences quality/compliance (eQMS), Salesforce-native, now AI-forward",Series B (with a Series B extension). No Series C announced as of Sept,,,,,,,
context (enterprise logo),Melio,,Naboo (https://www.naboo.ai/),B2B payments / SMB fintech (AP automation + embedded payments),Acquired — now a subsidiary of Xero (NZX/ASX: XRO). Was a late-stage p,,,,,,,
context (enterprise logo),DealHub,,Jedify,revenue operations / CPQ + billing SaaS (sales tech); now positioning as agentic revenue infrastructure,Late-stage private / growth stage. Raised a $100M growth round in Janu,,,,,,,
context (enterprise logo),Razorpay,,Hyper (heyhyper.ai) — YC Spring 2026 (P26); Supermemory; Maximem (Synap),Payments / fintech infrastructure — with a newly launched agentic-AI product line,"Late-stage private (Series F), pre-IPO",,,,,,,
context (enterprise logo),Amazon Web Services (AWS),,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai)",Cloud infrastructure / developer platform. In this context: an agent-platform vendor that ships its own competing agent-,"Not applicable — wholly owned subsidiary of Amazon.com, Inc. (NASDAQ: ",,,,,,,
context (enterprise logo),Microsoft,,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; Cognee (Topoteretes UG) — https://cognee.ai; Honcho (Plastic Labs)","Big Tech platform — cloud infrastructure, OS, productivity software, developer tools. NOT a startup and not a plausible ","Public (NASDAQ: MSFT), IPO 1986",,,,,,,
context (enterprise logo),NVIDIA,,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; Honcho (Plastic Labs); Memories.ai","AI infrastructure / semiconductors + enterprise AI software platform. Again a platform vendor, not a memory-buying ICP —","Public (NASDAQ: NVDA), IPO 1999",,,,,,,
context (enterprise logo),Adobe,,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; Cognee (Topoteretes UG) — https://cognee.ai; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai)","Creative software + marketing/CX cloud (SaaS). Enterprise software incumbent, not an agent-memory ICP.","Public (NASDAQ: ADBE), IPO 1986",,,,,,,
context (enterprise logo),Lenovo,,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; Memories.ai; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai)",Device and infrastructure OEM plus IT services — NOT a startup. Increasingly an AI services integrator selling agentic A,Public company (HKEX: 0992; listed 1994). Not applicable to venture st,,,,,,,
context (enterprise logo),Schlumberger (SLB),,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai)","Energy technology / oilfield services (Fortune-500 industrial enterprise, not an AI startup). Its digital arm is a softw",Public company (NYSE: SLB). Not venture-stage.,,,,,,,
context (enterprise logo),Vercel,,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai); Granola (granola.ai)","Developer infrastructure / PaaS — increasingly 'agent infrastructure' (sandboxes, durable orchestration, model gateway).","Late-stage private, Series F",,,,,,,
context (enterprise logo),University of Wyoming (UWYO),,Cognee (Topoteretes UG) — https://cognee.ai,Higher education / public university — grant-funded special-education research group (not a software vendor),n/a — public institution (state-funded; project is grant/department fu,,,,,,,
context (enterprise logo),HoneyBook,,"Zep (Zep AI, Inc. / getzep.com) — YC W24; Zep (Graphiti)","vertical SMB CRM / fintech (client management + payments for service businesses) — an incumbent SaaS company adding AI, ","Late-stage private (Series E, 2021); no IPO. Effectively a growth-stag",,,,,,,
context (enterprise logo),Palmstreet,,"Coworker (coworker.ai) - Village Platforms, Inc.",consumer marketplace / live commerce (social commerce),"unknown - venture-backed, almost certainly Series A/B era but no round",,,,,,,
context (enterprise logo),Electronic Arts,,"Hindsight (Vectorize.io); Hindsight (agent memory system by Vectorize AI, Inc. — vectorize.io / hindsight.vectorize.io); Vectorize (vectorize.io) — Vectorize, Inc.","Video game publisher / interactive entertainment — a large legacy enterprise, NOT an AI-native startup. This is the outl",Private (post-LBO). EA announced completion of its acquisition by Saud,,,,,,,
context (enterprise logo),SoundCloud,,Jedify,"Consumer music streaming / creator platform (B2C + prosumer creator SaaS + ads). A ~19-year-old internet company, not an","Late-stage private, VC- and strategic-backed; never IPO'd",,,,,,,
context (enterprise logo),AWS (Amazon Web Services),,Cognee (Topoteretes UG) — https://cognee.ai; Memvid,"Cloud infrastructure / platform provider - and, critically, a competitor in the agent-memory category rather than a buye",Segment of a public company (NASDAQ: AMZN),,,,,,,
context (enterprise logo),Shopify,,Cognee (Topoteretes UG) — https://cognee.ai,E-commerce SaaS / commerce infrastructure (not an agent-memory buyer category in itself),"Public — NASDAQ/TSX: SHOP, IPO May 2015",,,,,,,
context (enterprise logo),Baidu,,Cognee (Topoteretes UG) — https://cognee.ai,"Search / internet conglomerate plus full-stack AI cloud and foundation-model vendor — a mega-cap incumbent and, in the a",Public company. NASDAQ IPO August 2005; secondary listing on HKEX in 2,,,,,,,
context (enterprise logo),RapidSOS,,"Coworker (coworker.ai) - Village Platforms, Inc.",Public safety / emergency response infrastructure and data platform (govtech + enterprise safety). AI-forward but not AI,"Late-stage private growth company (post-Series C, effectively Series D",,,,,,,
context (enterprise logo),Harness,,"Coworker (coworker.ai) - Village Platforms, Inc.","DevOps / software delivery platform (CI/CD, feature flags, FinOps, AppSec) — repositioned around AI agents. Sells to dev","Late-stage private, venture-backed (Series D/E+ territory). Founded 20",,,,,,,
context (enterprise logo),Harri,,"Coworker (coworker.ai) - Village Platforms, Inc.","Vertical HR tech / hospitality HCM + workforce management SaaS (frontline labor ops, scheduling, compliance)",Late-stage private / growth-stage. Not a conventional VC ladder — the ,,,,,,,
context (enterprise logo),Truecaller,,"Coworker (coworker.ai) - Village Platforms, Inc.","consumer mobile app / communications trust and identity, plus B2B enterprise verified-communications",public company - listed on Nasdaq Stockholm since October 2021,,,,,,,
context (enterprise logo),Atlassian,,Honcho (Plastic Labs),dev tools / work-management SaaS (enterprise collaboration),"Public company (NASDAQ: TEAM), IPO Dec 10, 2015",,,,,,,
context (enterprise logo),Coinbase,,Honcho (Plastic Labs),crypto exchange / fintech + onchain developer infrastructure,"Public company (NASDAQ: COIN), direct listing April 14, 2021",,,,,,,
context (enterprise logo),Rippling,,Honcho (Plastic Labs),HR / IT / finance SaaS — workforce management ('compound startup' multi-product suite),"Late-stage private, Series G",,,,,,,
context (enterprise logo),Polymarket,,Honcho (Plastic Labs),prediction markets / crypto fintech (NOT an AI company),Late-stage growth; strategic corporate investment. Not a typical VC-le,,,,,,,
context (enterprise logo),Phantom,,Honcho (Plastic Labs),consumer crypto wallet / fintech (NOT an AI company),Series C,,,,,,,
context (enterprise logo),University of Michigan,,Honcho (Plastic Labs),Higher education / public research university (NOT an AI vendor; logo-wall entry in an agent-memory vendor's 'used by de,"not applicable - public university founded 1817, no venture stage",,,,,,,
context (enterprise logo),University of Toronto,,Honcho (Plastic Labs),"Higher education / public research university (NOT an AI vendor; logo-wall entry for Honcho, and an unverified citation ","not applicable - public university founded 1827, no venture stage",,,,,,,
context (enterprise logo),Intuit,,MIRIX (mirix.io),"fintech / SMB accounting, tax and marketing software (not an AI-memory vendor — a buyer)",Public company (Nasdaq: INTU). IPO 1993. Mature large-cap; ~$333/share,,,,,,,
context (enterprise logo),Vanta,,Granola (granola.ai),security compliance / GRC automation (B2B SaaS),Series D (late-stage private),,,,,,,
context (enterprise logo),Figma,,Granola (granola.ai),"Design and collaboration SaaS, increasingly a developer-tools and AI-workflow company","Public. IPO'd July 31, 2025 on the NYSE under ticker FIG at $85/share.",,,,,,,
context (enterprise logo),Ramp,,Granola (granola.ai),"B2B fintech / spend management and finance automation SaaS, now heavily agentic",Late-stage private (Series E and beyond),,,,,,,
context (enterprise logo),Netlify,,Jedify,developer tools / frontend cloud and web application PaaS; increasingly an AI app-building and agent-hosting platform,"Late-stage private, Series D. Still independent and venture-backed; no",,,,,,,
context (enterprise logo),DoubleVerify,,Jedify,"adtech — ad verification, brand safety, media measurement and campaign optimization","Public company, and currently mid-acquisition. IPO'd on NYSE April 21,",,,,,,,
context (enterprise logo),Brex,,Granola (granola.ai),Fintech — corporate cards and spend management (B2B). Now a Capital One subsidiary.,"Acquired (Capital One, closed April 2026). Previously late-stage priva",,,,,,,
context (enterprise logo),Apple,,Cognee (Topoteretes UG) — https://cognee.ai,"Consumer hardware, operating systems and digital services - a platform incumbent, not a member of the AI-startup buyer s",Public company (NASDAQ: AAPL),,,,,,,
context (enterprise logo),Pfizer,,Colrows (colrows.com) — Alterbasics Technologies Pvt Ltd,"Large-cap pharmaceutical manufacturer (enterprise buyer, not an AI vendor)",Public company (NYSE: PFE),,,,,,,
context (enterprise logo),"Qualcomm (Qualcomm Technologies, Inc.)",,Memories.ai,semiconductors / edge AI silicon — NOT an agent-memory buyer; this is a platform/silicon partnership,"Public company (NASDAQ: QCOM), IPO December 1991",,,,,,,
context (enterprise logo),Spotify,,Granola (granola.ai),"Consumer audio streaming / media platform (buyer of internal knowledge + AI-search tooling, not a seller in this categor","Public - direct listing on NYSE in April 2018, ticker SPOT",,,,,,,
